commit_id,timestamp,module_name,files_changed,loc_added,loc_deleted
3826b70,2026-09-12,ControlUnit,power_ctrl.v,29,5
802a3c2,2026-09-12,BranchUnit,bht.v,7,6
802a3c2,2026-09-12,Cache,cache.v,39,21
3826b70,2026-09-12,ALU,alu.v,33,6
e0dc2bd,2026-09-13,ALU,alu_div.v,20,8
e0dc2bd,2026-09-13,Cache,tag_array.v,44,21
57ab2f7,2026-09-14,Decoder,decoder.v,2,9
b4de812,2026-09-14,FIFO,fifo.v,14,2
c5bab05,2026-09-14,DMA,dma.v,45,7
b4de812,2026-09-14,DMA,desc_fetch.v,22,8
cffab84,2026-09-15,BranchUnit,bht.v,13,14
cffab84,2026-09-15,Cache,cache_ctrl.v,25,17
4c6e8d4,2026-09-15,ControlUnit,ctrl_unit.v,12,8
4c6e8d4,2026-09-15,BranchUnit,btb.v,28,11
66872ba,2026-09-16,Decoder,inst_decode.v,12,1
899cbda,2026-09-16,DMA,desc_fetch.v,35,8
0b3e418,2026-09-17,ALU,alu_mul.v,32,9
bf03ce5,2026-09-18,ControlUnit,fsm.v,34,12
5794995,2026-09-19,Cache,cache.v,43,13
5794995,2026-09-19,ControlUnit,power_ctrl.v,9,7
e3b36a4,2026-09-19,DMA,desc_fetch.v,28,12
e3b36a4,2026-09-19,ALU,alu.v,24,20
e3b36a4,2026-09-19,Decoder,decoder.v,19,10
5794995,2026-09-19,ALU,alu.v,28,13
ddf25f3,2026-09-19,BranchUnit,btb.v,26,4
4fb8cd1,2026-09-20,ControlUnit,power_ctrl.v,23,2
4fb8cd1,2026-09-20,DMA,desc_fetch.v,30,3
84db59a,2026-09-21,Cache,tag_array.v,29,9
78ce7ca,2026-09-21,Cache,cache_ctrl.v,42,9
78ce7ca,2026-09-21,ALU,alu.v,14,10
0e8772c,2026-09-21,AXI,axi_master.v,31,11
67ab1da,2026-09-23,Decoder,decoder.v,31,3
01e72ed,2026-09-23,ControlUnit,ctrl_unit.v,20,0
8200907,2026-09-23,Decoder,decoder.v,15,7
8200907,2026-09-23,BranchUnit,bht.v,5,7
754cf7c,2026-09-23,Cache,cache.v,14,18
11bc898,2026-09-23,BranchUnit,bht.v,33,14
11bc898,2026-09-23,Cache,cache_ctrl.v,19,13
8200907,2026-09-23,DMA,dma_ctrl.v,21,16
16d2457,2026-09-25,BranchUnit,btb.v,19,10
16d2457,2026-09-25,Cache,cache_ctrl.v,22,8
a5ef4b5,2026-09-26,BranchUnit,btb.v,23,7
f806b7c,2026-09-27,FIFO,fifo.v,20,0
f806b7c,2026-09-27,DMA,dma.v,36,8
e5c2fb8,2026-09-27,BranchUnit,branch_unit.v,21,13
f806b7c,2026-09-27,Cache,cache_ctrl.v,31,19
0be8b89,2026-09-27,AXI,axi_master.v,16,7
0be8b89,2026-09-27,Decoder,inst_decode.v,18,5
098f4be,2026-09-27,Cache,cache.v,23,10
0be8b89,2026-09-27,ControlUnit,fsm.v,12,6
de6aa8a,2026-09-28,BranchUnit,bht.v,30,5
5ef05aa,2026-09-29,BranchUnit,bht.v,23,12
5ef05aa,2026-09-29,AXI,axi_master.v,11,6
c9a5757,2026-09-29,Cache,tag_array.v,48,19
c9a5757,2026-09-29,FIFO,fifo_sync.v,10,5
20302fc,2026-09-29,AXI,axi_arbiter.v,28,8
20302fc,2026-09-29,BranchUnit,branch_unit.v,21,17
b6d2be7,2026-09-30,AXI,axi_master.v,6,16
b6d2be7,2026-09-30,ControlUnit,ctrl_unit.v,0,11
bab5104,2026-10-01,Decoder,decoder.v,0,0
bab5104,2026-10-01,ControlUnit,ctrl_unit.v,33,5
26936a1,2026-10-01,ALU,alu_mul.v,42,14
2bb8174,2026-10-01,DMA,dma.v,30,17
2bb8174,2026-10-01,ALU,alu_div.v,33,10
c41b917,2026-10-01,Cache,cache_ctrl.v,41,11
4f5266c,2026-10-02,DMA,desc_fetch.v,31,6
4f5266c,2026-10-02,AXI,axi_master.v,19,3
ac95170,2026-10-03,FIFO,fifo_sync.v,15,12
ac95170,2026-10-03,Decoder,decoder.v,17,7
ea33d6e,2026-10-04,AXI,axi_slave.v,32,17
9a6f603,2026-10-04,FIFO,fifo.v,0,13
1a05ac8,2026-10-04,ALU,alu_mul.v,12,1
9a6f603,2026-10-04,AXI,axi_arbiter.v,31,3
1a05ac8,2026-10-04,Decoder,decoder.v,21,0
9a6f603,2026-10-04,BranchUnit,branch_unit.v,24,11
82a5ad8,2026-10-05,DMA,dma_ctrl.v,14,16
82a5ad8,2026-10-05,AXI,axi_slave.v,25,4
82a5ad8,2026-10-05,ControlUnit,fsm.v,20,2
f42a228,2026-10-05,AXI,axi_arbiter.v,13,15
ffac562,2026-10-05,ControlUnit,ctrl_unit.v,13,5
2931436,2026-10-06,Cache,cache_ctrl.v,53,18
7b35e12,2026-10-07,DMA,dma_ctrl.v,10,15
7b35e12,2026-10-07,ALU,alu_mul.v,21,18
8cbcf9f,2026-10-08,Cache,cache.v,27,15
4b7936d,2026-10-09,DMA,desc_fetch.v,20,6
390c788,2026-10-09,Cache,cache.v,31,6
390c788,2026-10-09,DMA,desc_fetch.v,40,19
31a7f56,2026-10-09,FIFO,fifo_sync.v,18,5
1654b0d,2026-10-10,ALU,alu_div.v,22,15
e1c41c7,2026-10-10,ALU,alu.v,19,7
e1c41c7,2026-10-10,DMA,desc_fetch.v,37,17
7850c1b,2026-10-12,ALU,alu.v,27,17
0f1052b,2026-10-14,ControlUnit,power_ctrl.v,20,12
400c8a8,2026-10-15,BranchUnit,branch_unit.v,24,0
31720fd,2026-10-16,Cache,cache_ctrl.v,28,16
1e27abf,2026-10-16,Cache,cache_ctrl.v,28,9
62ed8eb,2026-10-16,DMA,dma_ctrl.v,20,5
2fdcf7b,2026-10-17,DMA,dma.v,34,7
4309d25,2026-10-18,ControlUnit,ctrl_unit.v,15,3
8a1a067,2026-10-19,ControlUnit,fsm.v,3,3
8a1a067,2026-10-19,FIFO,fifo.v,15,0
8a1a067,2026-10-19,Decoder,inst_decode.v,4,0
d01aefb,2026-10-20,Decoder,inst_decode.v,24,17
d01aefb,2026-10-20,ControlUnit,ctrl_unit.v,21,10
f112d19,2026-10-20,Cache,cache_ctrl.v,34,19
f112d19,2026-10-20,Decoder,inst_decode.v,21,7
d01aefb,2026-10-20,DMA,dma.v,18,3
52f0f42,2026-10-21,DMA,dma.v,19,10
52f0f42,2026-10-21,ALU,alu.v,32,13
03b5cb0,2026-10-21,Cache,cache_ctrl.v,38,13
cdf1a0b,2026-10-21,Cache,cache_ctrl.v,23,12
03b5cb0,2026-10-21,DMA,dma_ctrl.v,20,11
f7ca410,2026-10-21,ControlUnit,ctrl_unit.v,18,5
ad9f4b3,2026-10-22,ALU,alu_div.v,57,17
ad9f4b3,2026-10-22,ControlUnit,power_ctrl.v,4,0
ad9f4b3,2026-10-22,FIFO,fifo_sync.v,5,2
ad052f2,2026-10-22,BranchUnit,bht.v,28,13
9042611,2026-10-23,DMA,desc_fetch.v,27,25
a244266,2026-10-23,DMA,desc_fetch.v,38,7
a244266,2026-10-23,AXI,axi_arbiter.v,10,9
9042611,2026-10-23,Decoder,decoder.v,11,1
a244266,2026-10-23,ControlUnit,power_ctrl.v,12,11
56dc9c3,2026-10-24,ALU,alu_mul.v,35,0
8431217,2026-10-24,ControlUnit,ctrl_unit.v,5,4
dca7946,2026-10-24,Decoder,inst_decode.v,9,11
7f4e71d,2026-10-24,ControlUnit,ctrl_unit.v,23,12
5c0aa1e,2026-10-26,Cache,cache.v,33,14
5c0aa1e,2026-10-26,DMA,desc_fetch.v,28,16
17515c7,2026-10-27,Decoder,decoder.v,12,6
3fc3759,2026-10-28,AXI,axi_master.v,10,4
3fc3759,2026-10-28,Cache,cache.v,33,15
9a06acd,2026-10-29,ControlUnit,fsm.v,25,5
9a06acd,2026-10-29,BranchUnit,btb.v,10,8
13af71c,2026-10-29,AXI,axi_master.v,39,4
9a06acd,2026-10-29,ALU,alu.v,33,20
33a8dfa,2026-10-30,Cache,cache.v,42,15
33a8dfa,2026-10-30,AXI,axi_slave.v,20,11
f503789,2026-10-30,ControlUnit,ctrl_unit.v,40,4
33a8dfa,2026-10-30,ALU,alu_div.v,20,15
f503789,2026-10-30,FIFO,fifo_sync.v,11,9
6ea377f,2026-10-30,FIFO,fifo_sync.v,0,10
f171cc2,2026-10-30,Cache,tag_array.v,38,7
f171cc2,2026-10-30,ControlUnit,fsm.v,24,9
f171cc2,2026-10-30,AXI,axi_master.v,4,5
13a32e9,2026-10-30,ControlUnit,fsm.v,25,5
c388025,2026-10-30,Cache,tag_array.v,31,12
0cd87f0,2026-10-31,BranchUnit,branch_unit.v,27,8
0cd87f0,2026-10-31,FIFO,fifo_sync.v,25,8
5b13cb7,2026-10-31,Cache,tag_array.v,37,14
f638828,2026-11-01,AXI,axi_arbiter.v,11,12
a801c36,2026-11-01,BranchUnit,branch_unit.v,15,12
1526996,2026-11-02,AXI,axi_slave.v,0,6
1526996,2026-11-02,Cache,cache.v,25,15
4b08c88,2026-11-02,DMA,dma_ctrl.v,9,15
3938f5c,2026-11-03,Decoder,decoder.v,13,1
3938f5c,2026-11-03,DMA,dma_ctrl.v,21,5
3938f5c,2026-11-03,ControlUnit,power_ctrl.v,23,4
3483b40,2026-11-05,Decoder,decoder.v,1,6
eb32f7e,2026-11-05,BranchUnit,bht.v,27,11
3483b40,2026-11-05,ControlUnit,ctrl_unit.v,0,5
3483b40,2026-11-05,Cache,cache.v,21,4
d7d9f1e,2026-11-06,BranchUnit,bht.v,19,6
6fe9a1e,2026-11-07,BranchUnit,btb.v,24,6
b2435ad,2026-11-07,ALU,alu.v,22,5
c53cb47,2026-11-08,FIFO,fifo.v,30,0
70de83c,2026-11-08,DMA,desc_fetch.v,16,18
eb743ac,2026-11-11,DMA,dma_ctrl.v,15,3
6208c24,2026-11-14,ControlUnit,fsm.v,11,5
6a374b7,2026-11-14,ControlUnit,ctrl_unit.v,11,0
c89fbae,2026-11-14,BranchUnit,branch_unit.v,40,17
9cfe914,2026-11-15,BranchUnit,btb.v,31,12
3c61694,2026-11-15,FIFO,fifo_sync.v,15,3
9cfe914,2026-11-15,Cache,tag_array.v,34,11
c9c7894,2026-11-17,AXI,axi_arbiter.v,27,28
c9c7894,2026-11-17,FIFO,fifo.v,23,7
a06b1c0,2026-11-18,FIFO,fifo.v,5,13
a06b1c0,2026-11-18,Cache,cache_ctrl.v,26,13
9322b96,2026-11-18,Decoder,decoder.v,16,0
9322b96,2026-11-18,BranchUnit,bht.v,0,8
9322b96,2026-11-18,DMA,desc_fetch.v,26,13
a06b1c0,2026-11-18,DMA,dma_ctrl.v,45,7
1f7393e,2026-11-19,AXI,axi_slave.v,9,3
f5c113b,2026-11-20,DMA,dma_ctrl.v,20,12
d4bce8f,2026-11-20,BranchUnit,branch_unit.v,21,8
c38579a,2026-11-21,BranchUnit,bht.v,16,13
8990ffd,2026-11-21,Cache,cache.v,19,15
8990ffd,2026-11-21,AXI,axi_arbiter.v,14,10
c38579a,2026-11-21,Decoder,inst_decode.v,3,9
42b450d,2026-11-22,ControlUnit,ctrl_unit.v,28,17
42b450d,2026-11-22,Decoder,decoder.v,0,2
b2bff6f,2026-11-23,FIFO,fifo.v,16,8
b3655bc,2026-11-23,ALU,alu.v,12,1
35b59b5,2026-11-23,DMA,dma_ctrl.v,38,8
699af5c,2026-11-24,FIFO,fifo_sync.v,16,10
2ebb462,2026-11-24,BranchUnit,bht.v,15,15
2ebb462,2026-11-24,DMA,dma.v,25,12
d0092a0,2026-11-24,Cache,cache_ctrl.v,49,12
5f5073c,2026-11-25,BranchUnit,branch_unit.v,23,9
5f5073c,2026-11-25,ControlUnit,ctrl_unit.v,18,5
60c963f,2026-11-26,ControlUnit,power_ctrl.v,40,11
569324e,2026-11-26,Decoder,inst_decode.v,9,6
60c963f,2026-11-26,FIFO,fifo.v,21,0
569324e,2026-11-26,AXI,axi_master.v,14,2
b7e5229,2026-11-27,FIFO,fifo_sync.v,20,9
90c4c75,2026-11-27,Decoder,inst_decode.v,0,0
90c4c75,2026-11-27,ALU,alu.v,22,16
90c4c75,2026-11-27,Cache,tag_array.v,19,5
d9c2874,2026-11-27,ControlUnit,ctrl_unit.v,13,0
fe63b2b,2026-11-28,Decoder,inst_decode.v,13,2
0ca158f,2026-11-28,ALU,alu_mul.v,15,9
e2e569d,2026-11-29,ControlUnit,power_ctrl.v,21,14
106f98b,2026-11-30,Cache,tag_array.v,21,18
64a7a06,2026-12-01,DMA,dma_ctrl.v,17,13
58e401d,2026-12-03,Cache,cache_ctrl.v,23,13
1e7979c,2026-12-04,Cache,cache_ctrl.v,18,16
4738eb2,2026-12-05,Decoder,decoder.v,20,10
6426fae,2026-12-05,BranchUnit,bht.v,30,11
723ec0a,2026-12-05,Decoder,decoder.v,13,7
723ec0a,2026-12-05,ALU,alu.v,30,15
4738eb2,2026-12-05,DMA,dma.v,29,0
b0608dc,2026-12-06,DMA,desc_fetch.v,14,14
b0608dc,2026-12-06,FIFO,fifo_sync.v,24,15
ae9922b,2026-12-07,Cache,cache_ctrl.v,25,6
a91a992,2026-12-07,BranchUnit,branch_unit.v,13,0
ae9922b,2026-12-07,FIFO,fifo.v,9,5
a91a992,2026-12-07,FIFO,fifo.v,18,3
a14de3b,2026-12-08,Decoder,decoder.v,10,4
51219ef,2026-12-08,FIFO,fifo.v,3,7
fcc9b92,2026-12-09,BranchUnit,bht.v,27,15
08d2c7b,2026-12-09,Cache,cache.v,33,14
5a7be64,2026-12-09,Cache,cache_ctrl.v,40,13
5a7be64,2026-12-09,FIFO,fifo_sync.v,0,2
5a7be64,2026-12-09,ControlUnit,ctrl_unit.v,17,6
fcc9b92,2026-12-09,Decoder,decoder.v,34,10
61db3c1,2026-12-10,DMA,dma_ctrl.v,34,9
a175155,2026-12-10,Decoder,inst_decode.v,10,6
a175155,2026-12-10,BranchUnit,btb.v,14,8
2a12370,2026-12-11,FIFO,fifo.v,19,1
6acc363,2026-12-11,ALU,alu_mul.v,34,10
2a12370,2026-12-11,ControlUnit,fsm.v,19,20
5631d7a,2026-12-12,ALU,alu_mul.v,32,13
5631d7a,2026-12-12,ControlUnit,ctrl_unit.v,23,5
0f1b7cb,2026-12-13,BranchUnit,branch_unit.v,32,3
31667ba,2026-12-13,BranchUnit,bht.v,18,16
0df2d5a,2026-12-13,AXI,axi_master.v,12,9
0f1b7cb,2026-12-13,ControlUnit,ctrl_unit.v,5,11
ecaae68,2026-12-13,AXI,axi_master.v,21,7
75454af,2026-12-14,Cache,tag_array.v,36,3
d7b0f31,2026-12-14,ALU,alu.v,31,10
f8791bd,2026-12-14,ControlUnit,ctrl_unit.v,22,2
f8791bd,2026-12-14,DMA,dma_ctrl.v,46,4
5e264b3,2026-12-15,Decoder,decoder.v,14,6
43cf4b0,2026-12-15,DMA,dma.v,41,14
dbf9593,2026-12-16,Decoder,inst_decode.v,6,0
7651267,2026-12-17,ControlUnit,fsm.v,12,8
7651267,2026-12-17,ALU,alu_mul.v,45,18
7651267,2026-12-17,DMA,dma_ctrl.v,13,13
d8b96b7,2026-12-17,BranchUnit,bht.v,9,7
3dd5c11,2026-12-17,ALU,alu_div.v,22,12
d8b96b7,2026-12-17,Decoder,decoder.v,23,8
bf0c343,2026-12-19,FIFO,fifo_sync.v,3,1
8f2f801,2026-12-19,DMA,desc_fetch.v,24,14
8f2f801,2026-12-19,BranchUnit,btb.v,28,5
d43c957,2026-12-20,ControlUnit,power_ctrl.v,22,4
218a5dc,2026-12-20,DMA,dma.v,4,15
739049d,2026-12-20,ALU,alu.v,32,3
e16045b,2026-12-21,DMA,desc_fetch.v,15,6
86489b2,2026-12-21,ControlUnit,ctrl_unit.v,16,0
f39d3b4,2026-12-23,BranchUnit,btb.v,5,4
0a7ba26,2026-12-23,DMA,dma.v,19,9
f39d3b4,2026-12-23,Decoder,decoder.v,22,10
a46f2f7,2026-12-24,DMA,dma_ctrl.v,17,8
a46f2f7,2026-12-24,Decoder,decoder.v,4,6
a72aeec,2026-12-24,AXI,axi_slave.v,26,11
124b941,2026-12-24,BranchUnit,btb.v,26,7
a46f2f7,2026-12-24,ALU,alu_div.v,18,14
b869ece,2026-12-25,Cache,cache.v,22,9
80fa66d,2026-12-26,DMA,dma_ctrl.v,27,5
8588753,2026-12-26,BranchUnit,branch_unit.v,24,13
f726bb4,2026-12-27,FIFO,fifo.v,25,8
5bbdab7,2026-12-27,Decoder,inst_decode.v,23,0
3022a93,2026-12-27,FIFO,fifo.v,16,2
794bb1b,2026-12-27,ControlUnit,fsm.v,22,14
5bbdab7,2026-12-27,ControlUnit,fsm.v,33,10
5bbdab7,2026-12-27,AXI,axi_arbiter.v,35,2
cdc9892,2026-12-28,AXI,axi_arbiter.v,16,10
b598694,2026-12-29,DMA,dma_ctrl.v,31,10
7fc3c95,2026-12-29,Decoder,decoder.v,13,3
7fc3c95,2026-12-29,BranchUnit,bht.v,21,11
f241547,2026-12-31,ControlUnit,fsm.v,9,3
7a45e7c,2026-01-01,FIFO,fifo.v,11,4
cbb778e,2026-01-01,Decoder,inst_decode.v,5,13
89dd787,2026-01-01,Cache,cache.v,24,12
cecc9aa,2026-01-01,ControlUnit,fsm.v,6,5
4660b93,2026-01-02,ControlUnit,fsm.v,14,1
4660b93,2026-01-02,FIFO,fifo_sync.v,19,7
1a3d295,2026-01-03,Decoder,inst_decode.v,16,9
1a3d295,2026-01-03,DMA,dma_ctrl.v,28,18
1a3d295,2026-01-03,ALU,alu_div.v,15,19
206ec4b,2026-01-04,ControlUnit,fsm.v,22,14
206ec4b,2026-01-04,BranchUnit,branch_unit.v,34,4
206ec4b,2026-01-04,Decoder,decoder.v,20,0
e4fae73,2026-01-05,AXI,axi_master.v,14,18
c440ca3,2026-01-06,Decoder,decoder.v,24,12
c440ca3,2026-01-06,ALU,alu_mul.v,47,11
65610b1,2026-01-07,Decoder,inst_decode.v,17,6
463a585,2026-01-07,FIFO,fifo_sync.v,24,14
2941a90,2026-01-09,ControlUnit,ctrl_unit.v,20,10
